Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
permute,/usr/local/lib/R/site-library,0.9-5,NA,R (>= 2.14.0),stats,NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
pglm,/usr/local/lib/R/site-library,0.2-1,NA,"R (>= 2.10), maxLik, plm",statmod,NA,"lmtest, car",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
phangorn,/usr/local/lib/R/site-library,2.5.5,NA,"R (>= 3.2.0), ape (>= 5.0)","quadprog, igraph (>= 1.0), Matrix, parallel, methods, utils,
stats, graphics, grDevices, fastmatch, magrittr, Rcpp (>=
0.12.0)",Rcpp,"testthat, vdiffr, seqinr, xtable, rgl, knitr, rmarkdown,
Biostrings",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
PhotosynQ,/usr/local/lib/R/site-library,0.0.9,NA,R (>= 3.2.4),NA,NA,"httr,
getPass",NA,MIT,NA,NA,NA,NA,NA,3.4.3
phyloseq,/usr/local/lib/R/site-library,1.28.0,NA,R (>= 3.3.0),"ade4 (>= 1.7.4), ape (>= 5.0), Biobase (>= 2.36.2),
BiocGenerics (>= 0.22.0), biomformat (>= 1.0.0), Biostrings (>=
2.40.0), cluster (>= 2.0.4), data.table (>= 1.10.4), foreach
(>= 1.4.3), ggplot2 (>= 2.1.0), igraph (>= 1.0.1), methods (>=
3.3.0), multtest (>= 2.28.0), plyr (>= 1.8.3), reshape2 (>=
1.4.1), scales (>= 0.4.0), vegan (>= 2.5)",NA,"BiocStyle (>= 2.4), DESeq2 (>= 1.16.1), genefilter (>= 1.58),
knitr (>= 1.16), magrittr (>= 1.5), metagenomeSeq (>= 1.14),
rmarkdown (>= 1.6), testthat (>= 1.0.2)",doParallel (>= 1.0.10),AGPL-3,NA,NA,NA,NA,no,3.6.1
phylotate,/usr/local/lib/R/site-library,1.3,NA,R (>= 3.0.0),NA,NA,ape,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
picante,/usr/local/lib/R/site-library,1.8,NA,"ape, vegan, nlme, methods",NA,NA,"brglm, circular, corpcor, quantreg",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
pillar,/usr/local/lib/R/site-library,1.4.2,NA,NA,"cli, crayon (>= 1.3.4), fansi, rlang (>= 0.3.0), utf8 (>=
1.1.0), vctrs",NA,"knitr, lubridate, testthat, withr",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
pkgbuild,/usr/local/lib/R/site-library,1.0.4,NA,R (>= 3.1),"callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, testthat, covr",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
pkgconfig,/usr/local/lib/R/site-library,2.0.2,NA,NA,utils,NA,"covr, testthat, disposables (>= 1.0.3)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
pkgload,/usr/local/lib/R/site-library,1.0.2,NA,NA,"desc, methods, pkgbuild, rlang, rprojroot, rstudioapi, utils,
withr",NA,"bitops, covr, Rcpp, testthat",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
pkgmaker,/usr/local/lib/R/site-library,0.27,NA,"R (>= 3.0.0), methods, stats, registry","tools, grDevices, utils, graphics, codetools, digest, stringi,
magrittr, stringr, xtable, withr, bibtex (>= 0.4)",NA,"devtools (>= 0.8), roxygen2, RUnit, testthat, knitr,
rmarkdown, yaml, Biobase",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
PKI,/usr/local/lib/R/site-library,0.1-5.1,NA,"R (>= 2.9.0), base64enc",NA,NA,NA,gmp,GPL-2 | GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.6.1
plm,/usr/local/lib/R/site-library,2.1-0,NA,R (>= 3.1.0),"MASS, bdsmatrix, zoo, nlme, sandwich, lattice, lmtest, maxLik,
Rdpack, Formula, stats",NA,"AER, car, pcse, clusterSEs, clubSandwich, pglm, spdep, splm,
statmod, Ecdat, pder, stargazer, texreg, foreign, knitr,
rmarkdown, bookdown",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
plogr,/usr/local/lib/R/site-library,0.2.0,NA,NA,NA,NA,Rcpp,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
plotmo,/usr/local/lib/R/site-library,3.5.5,NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotrix, TeachingDemos",NA,NA,"C50 (>= 0.1.0-24), earth (>= 5.1.0), gbm (>= 2.1.1), glmnet
(>= 2.0.5), glmnetUtils (>= 1.0.3), MASS (>= 7.3-45), mlr (>=
2.12.1), neuralnet (>= 1.33), partykit (>= 1.2-2), pre (>=
0.5.0), rpart (>= 4.1-10), rpart.plot (>= 2.1.0)",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
plotrix,/usr/local/lib/R/site-library,3.7-6,NA,R (>= 3.5.0),"grDevices, graphics, stats, utils",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
pls,/usr/local/lib/R/site-library,2.7-1,NA,R (>= 2.10),"grDevices, graphics, methods, stats",NA,"MASS, parallel, Rmpi, testthat, RUnit",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
plyr,/usr/local/lib/R/site-library,1.8.4,NA,R (>= 3.1.0),Rcpp (>= 0.11.0),Rcpp,"abind, testthat, tcltk, foreach, doParallel, itertools,
iterators, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
pmml,/usr/local/lib/R/site-library,2.0.0,NA,XML,"methods, stats, utils, stringr",NA,"ada, amap, arules, caret, clue, data.table, gbm, glmnet,
Matrix, neighbr, nnet, rpart, randomForestSRC (<= 2.5.0),
randomForest, kernlab, e1071, testthat, survival, xgboost,
knitr, rmarkdown",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,3.6.1
pmmlTransformations,/usr/local/lib/R/site-library,1.3.3,NA,NA,NA,NA,"knitr, testthat, rmarkdown, pmml (<= 1.5.7)",NA,GPL (>= 2.1),NA,NA,NA,NA,no,3.6.1
png,/usr/local/lib/R/site-library,0.1-7,NA,R (>= 2.9.0),NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
poLCA,/usr/local/lib/R/site-library,1.4.1,NA,"scatterplot3d, MASS",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
polyclip,/usr/local/lib/R/site-library,1.10-0,NA,R (>= 3.0.0),NA,NA,NA,NA,BSL,NA,NA,NA,NA,yes,3.6.1
polynom,/usr/local/lib/R/site-library,1.4-0,NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
prabclus,/usr/local/lib/R/site-library,2.3-1,NA,"R (>= 2.10), MASS, mclust",NA,NA,"spdep, spatialreg, bootstrap, maptools, foreign, mvtnorm",NA,GPL,NA,NA,NA,NA,no,3.6.1
pracma,/usr/local/lib/R/site-library,2.2.5,NA,R (>= 3.1.0),"graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
praise,/usr/local/lib/R/site-library,1.0.0,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
prefmod,/usr/local/lib/R/site-library,0.8-34,NA,"R (>= 3.0.0), stats, graphics, gnm (>= 1.0-0), colorspace","grDevices, utils",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
PresenceAbsence,/usr/local/lib/R/site-library,1.1.9,NA,R (>= 2.2.0),NA,NA,NA,NA,Unlimited,NA,NA,NA,NA,NA,3.6.1
prettyunits,/usr/local/lib/R/site-library,1.0.2,NA,NA,"magrittr, assertthat, methods",NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
princurve,/usr/local/lib/R/site-library,2.1.4,NA,R (>= 3.0),"stats, graphics, grDevices, Rcpp",Rcpp,"devtools, testthat",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
pROC,/usr/local/lib/R/site-library,1.15.3,NA,R (>= 2.14),"methods, plyr, Rcpp (>= 0.11.1)",Rcpp,"microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
processx,/usr/local/lib/R/site-library,3.4.1,NA,NA,"ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.2.0), codetools, covr, crayon, curl, debugme,
parallel, testthat, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
prodlim,/usr/local/lib/R/site-library,2018.04.18,NA,R (>= 2.9.0),"Rcpp (>= 0.11.5), stats, graphics, survival, KernSmooth, lava",Rcpp,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
profdpm,/usr/local/lib/R/site-library,3.3,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
profileModel,/usr/local/lib/R/site-library,0.6.0,NA,R (>= 2.6.0),NA,NA,"MASS, gnm",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
progress,/usr/local/lib/R/site-library,1.2.2,NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
promises,/usr/local/lib/R/site-library,1.0.1,NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
propr,/usr/local/lib/R/site-library,4.1.6,NA,"methods, R (>= 3.2.2)","fastcluster, ggplot2, grDevices, igraph, Rcpp, stats, utils",Rcpp,"ALDEx2, Biobase, cccrm, compositions, data.table, datasets,
grid, ggdendro, knitr, limma, plotly, reshape2, rgl, rmarkdown,
SDMTools, testthat, vegan",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
proto,/usr/local/lib/R/site-library,1.0.0,NA,NA,NA,NA,"testthat, covr",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
protolite,/usr/local/lib/R/site-library,1.9,NA,NA,"Rcpp (>= 0.12.12), jsonlite",Rcpp,"testthat, RProtoBuf",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
proxy,/usr/local/lib/R/site-library,0.4-23,NA,R (>= 3.4.0),"stats, utils",NA,cba,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
pryr,/usr/local/lib/R/site-library,0.1.4,NA,R (>= 3.1.0),"stringr, codetools, methods, Rcpp (>= 0.11.0)",Rcpp,testthat (>= 0.8.0),NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
ps,/usr/local/lib/R/site-library,1.3.0,NA,R (>= 3.1),utils,NA,"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat, tibble",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,3.6.1
pscl,/usr/local/lib/R/site-library,1.5.2,NA,NA,"MASS, datasets, grDevices, graphics, stats, utils",NA,"lattice, MCMCpack, car, lmtest, sandwich, zoo, coda, vcd,
mvtnorm, mgcv",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
pso,/usr/local/lib/R/site-library,1.0.3,NA,"R (>= 2.10.0), methods",NA,NA,numDeriv,NA,LGPL-3,NA,NA,NA,NA,NA,3.6.1
psych,/usr/local/lib/R/site-library,1.8.12,NA,R (>= 2.10),"mnormt,parallel,stats,graphics,grDevices,methods,foreign,lattice,nlme",NA,"GPArotation, lavaan, sem, lme4,Rcsdp, graph, Rgraphviz",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
psychotools,/usr/local/lib/R/site-library,0.5-0,NA,R (>= 2.10.0),"graphics, grDevices, stats, utils",NA,"Formula, likert, mirt, multcomp, sandwich",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
psychotree,/usr/local/lib/R/site-library,0.15-2,NA,"R (>= 2.15.0), partykit (>= 0.8-4), psychotools (>= 0.4-0)","graphics, grDevices, grid, stats, Formula",NA,"colorspace, strucchange",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
purrr,/usr/local/lib/R/site-library,0.3.2,NA,R (>= 3.1),"magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.6.1
pvclust,/usr/local/lib/R/site-library,2.0-0,NA,R (>= 2.10.0),NA,NA,"MASS, parallel",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
qap,/usr/local/lib/R/site-library,0.1-1,NA,NA,NA,NA,testthat,NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
quadprog,/usr/local/lib/R/site-library,1.5-7,NA,R (>= 3.1.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
Quandl,/usr/local/lib/R/site-library,2.10.0,NA,"R (>= 2.15.0), xts","httr (>= 0.6.1), zoo, jsonlite (>= 0.9.14)",NA,"testthat (>= 0.10.0), roxygen2, timeSeries",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.2
quantmod,/usr/local/lib/R/site-library,0.4-15,NA,"R (>= 3.2.0), xts(>= 0.9-0), zoo, TTR(>= 0.2), methods",curl,NA,"DBI,RMySQL,RSQLite,timeSeries,XML,downloader,jsonlite(>= 1.1)",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
quantreg,/usr/local/lib/R/site-library,5.51,NA,"R (>= 2.6), stats, SparseM","methods, graphics, Matrix, MatrixModels",NA,"tripack, akima, MASS, survival, rgl, logspline, nor1mix,
Formula, zoo, R.rsp",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
questionr,/usr/local/lib/R/site-library,0.7.0,NA,R (>= 2.10),"shiny (>= 1.0.5), miniUI, rstudioapi, highr, classInt,
htmltools, graphics, stats, utils, labelled (>= 2.0.0)",NA,"memisc, testthat, roxygen2, dplyr, tidyr, janitor, forcats,
knitr",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
QUIC,/usr/local/lib/R/site-library,1.1,NA,R (>= 2.10),NA,NA,NA,NA,GPL-3,NA,NA,NA,NA,NA,3.6.1
qvcalc,/usr/local/lib/R/site-library,1.0.0,NA,NA,NA,NA,"relimp, MASS, pkgdown",psychotools,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
R2BayesX,/usr/local/lib/R/site-library,1.1-1,NA,"R (>= 2.13.0), BayesXsrc, colorspace, mgcv",methods,NA,"akima, coda, maps, maptools, MBA, parallel, shapefiles, sp,
spdep, splines, rgdal, spData",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
R2Cuba,/usr/local/lib/R/site-library,1.1-0,NA,NA,NA,NA,"deldir, mvtnorm",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.4.2
R2HTML,/usr/local/lib/R/site-library,2.3.2,NA,R (>= 2.0),"stats, graphics, utils, grDevices, methods",NA,"boot, splines, survival, cluster, nlme, rpart, nnet",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
R2jags,/usr/local/lib/R/site-library,0.5-7,NA,"R (>= 2.14.0), rjags (>= 3-3)","abind, coda (>= 0.13), graphics, grDevices, methods,
R2WinBUGS, parallel, stats, utils",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.1
R2OpenBUGS,/usr/local/lib/R/site-library,3.2-3.2,NA,R (>= 2.13.0),"coda (>= 0.11-0), boot",NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
R2WinBUGS,/usr/local/lib/R/site-library,2.1-21,NA,"R (>= 2.13.0), coda (>= 0.11-0), boot","utils, stats, graphics",NA,BRugs (>= 0.3-2),NA,GPL-2,NA,NA,NA,NA,no,3.6.1
R6,/usr/local/lib/R/site-library,2.4.0,NA,R (>= 3.0),NA,NA,"knitr, microbenchmark, pryr, testthat, ggplot2, scales",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
RandomFields,/usr/local/lib/R/site-library,3.3.6,NA,"R (>= 3.0), sp, RandomFieldsUtils (>= 0.5.1)","graphics, methods, grDevices, stats, utils",RandomFieldsUtils,"colorspace, RColorBrewer, mvtnorm, raster, tcltk2, tcltk,
tkrplot, spam, tools, geoR, minqa, soma, optimx, nloptr, pso,
GenSA",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
RandomFieldsUtils,/usr/local/lib/R/site-library,0.5.3,NA,R (>= 3.0),"utils, methods",NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
randomForest,/usr/local/lib/R/site-library,4.6-14,NA,"R (>= 3.2.2), stats",NA,NA,"RColorBrewer, MASS",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
randomForestSRC,/usr/local/lib/R/site-library,2.9.1,NA,"R (>= 3.5.0),",parallel,NA,"survival, pec, prodlim, mlbench, akima, caret, imbalance",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
randomGLM,/usr/local/lib/R/site-library,1.02-1,NA,"R (>= 2.14.0), MASS, foreach, doParallel",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.1
ranger,/usr/local/lib/R/site-library,0.11.2,NA,R (>= 3.1),"Rcpp (>= 0.11.2), Matrix","Rcpp, RcppEigen","survival, testthat",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
RANN,/usr/local/lib/R/site-library,2.6.1,NA,NA,NA,NA,testthat,NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
rappdirs,/usr/local/lib/R/site-library,0.3.1,NA,"R (>= 2.14), methods",NA,NA,"testthat, roxygen2",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
rARPACK,/usr/local/lib/R/site-library,0.11-0,NA,NA,RSpectra,NA,Matrix (>= 1.1-0),NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,no,3.6.1
raster,/usr/local/lib/R/site-library,3.0-2,NA,"sp (>= 1.2-0), R (>= 3.0.0)","Rcpp, methods",Rcpp,"rgdal (>= 0.9-1), rgeos (>= 0.3-8), ncdf4, igraph, tcltk,
parallel, rasterVis, MASS, sf, testthat",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
rbenchmark,/usr/local/lib/R/site-library,1.0.0,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.1
rcdd,/usr/local/lib/R/site-library,1.2-2,NA,R (>= 3.0.2),methods,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
rcmdcheck,/usr/local/lib/R/site-library,1.3.3,NA,NA,"callr (>= 3.1.1.9000), cli (>= 1.1.0), crayon, desc (>=
1.2.0), digest, pkgbuild, prettyunits, R6, rprojroot,
sessioninfo (>= 1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, rmarkdown, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
Rcmdr,/usr/local/lib/R/site-library,2.5-3,NA,"R (>= 3.5.0), grDevices, graphics, methods, stats, utils,
splines, RcmdrMisc (>= 2.5-0), car (>= 3.0-1), effects (>=
4.0-3)","tcltk, tcltk2 (>= 1.2-6), abind, relimp (>= 1.0-5)",NA,"aplpack, boot, colorspace, e1071, foreign, grid, Hmisc,
knitr, lattice, leaps, lmtest, markdown, MASS, mgcv, multcomp
(>= 0.991-2), nlme, nnet, nortest, readxl, rgl (>= 0.96.0),
rmarkdown (>= 0.9.5), sem (>= 2.1-1)",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
RcmdrMisc,/usr/local/lib/R/site-library,2.5-1,NA,"R (>= 3.5.0), utils, car (>= 3.0-0), sandwich","abind, colorspace, Hmisc (>= 4.1-0), MASS, e1071, foreign,
haven, readstata13, readxl, graphics, grDevices, stats, nortest",NA,"boot, datasets",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
RColorBrewer,/usr/local/lib/R/site-library,1.1-2,NA,R (>= 2.0.0),NA,NA,NA,NA,Apache License 2.0,NA,NA,NA,NA,no,3.6.1
Rcpp,/usr/local/lib/R/site-library,1.0.2,NA,R (>= 3.0.0),"methods, utils",NA,"RUnit, inline, rbenchmark, knitr, rmarkdown, pinp, pkgKitten
(>= 0.1.2)",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
RcppArmadillo,/usr/local/lib/R/site-library,0.9.600.4.0,NA,R (>= 3.3.0),"Rcpp (>= 0.11.0), stats, utils, methods",Rcpp,"RUnit, Matrix, pkgKitten, reticulate, rmarkdown, knitr, pinp,
slam",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
RcppEigen,/usr/local/lib/R/site-library,0.3.3.5.0,NA,R (>= 2.15.1),"Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils",Rcpp,"inline, RUnit, pkgKitten, microbenchmark",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,yes,3.6.1
RcppGSL,/usr/local/lib/R/site-library,0.3.3,NA,NA,"Rcpp (>= 0.11.0), stats",Rcpp,"RUnit, inline, knitr, rmarkdown, pinp",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.1
RcppParallel,/usr/local/lib/R/site-library,4.4.3,NA,R (>= 3.0.2),NA,NA,"Rcpp, RUnit, knitr, rmarkdown",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
RcppProgress,/usr/local/lib/R/site-library,0.4.1,NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
RcppRoll,/usr/local/lib/R/site-library,0.3.0,NA,R (>= 2.15.1),Rcpp,Rcpp,"zoo, testthat",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
Rcsdp,/usr/local/lib/R/site-library,0.1.55,NA,NA,methods,NA,NA,Matrix,CPL-1.0,NA,NA,NA,NA,yes,3.6.1
RCurl,/usr/local/lib/R/site-library,1.95-4.12,NA,"R (>= 3.0.0), methods, bitops",NA,NA,"Rcompression, XML",NA,BSD,NA,NA,NA,NA,yes,3.6.1
rdist,/usr/local/lib/R/site-library,0.0.3,NA,R (>= 3.2.2),"Rcpp, methods","Rcpp, RcppArmadillo",testthat,NA,GPL,NA,NA,NA,NA,yes,3.6.1
Rdpack,/usr/local/lib/R/site-library,0.11-0,NA,"R (>= 2.15.0), methods","tools, utils, grDevices, bibtex (>= 0.4.0), gbRd",NA,"testthat, rstudioapi, rprojroot",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
readr,/usr/local/lib/R/site-library,1.3.1,NA,R (>= 3.1),"Rcpp (>= 0.12.0.5), tibble, hms (>= 0.4.1), R6, clipr, crayon,
methods","Rcpp, BH","curl, testthat, knitr, rmarkdown, stringi, covr, spelling",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,yes,3.6.1
readstata13,/usr/local/lib/R/site-library,0.9.2,NA,NA,Rcpp (>= 0.11.5),Rcpp,testthat,NA,GPL-2 | file LICENSE,NA,NA,NA,NA,yes,3.6.1
readxl,/usr/local/lib/R/site-library,1.3.1,NA,NA,"cellranger, Rcpp (>= 0.12.18), tibble (>= 1.3.1), utils","progress, Rcpp","covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
recipes,/usr/local/lib/R/site-library,0.1.6,NA,"R (>= 3.1), dplyr","generics, glue, gower, ipred, lubridate, magrittr, Matrix,
purrr (>= 0.2.3), rlang (>= 0.4.0), stats, tibble, tidyr,
tidyselect (>= 0.2.5), timeDate, utils, withr",NA,"covr, ddalpha, dimRed (>= 0.2.2), fastICA, ggplot2, igraph,
kernlab, knitr, pls, RANN, RcppRoll, rmarkdown, rpart, rsample,
RSpectra, testthat",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
registry,/usr/local/lib/R/site-library,0.5-1,NA,R (>= 2.6.0),utils,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
relevent,/usr/local/lib/R/site-library,1.0-4,NA,"trust, sna (>= 2.0), coda",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
relimp,/usr/local/lib/R/site-library,1.0-5,NA,R (>= 2.0.0),"stats, utils",NA,"tcltk, nnet, MASS, Rcmdr",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
rem,/usr/local/lib/R/site-library,1.3.1,NA,R (>= 2.14.0),"Rcpp, foreach, doParallel",Rcpp,"texreg, statnet, ggplot2",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
rematch,/usr/local/lib/R/site-library,1.0.1,NA,NA,NA,NA,"covr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
rematch2,/usr/local/lib/R/site-library,2.1.0,NA,NA,tibble,NA,"covr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
remoter,/usr/local/lib/R/site-library,0.4-0,NA,R (>= 3.2.0),"pbdZMQ (>= 0.3-0), getPass (>= 0.1-0), argon2 (>= 0.2-0),
stats, utils, tools, grDevices, graphics, png (>= 0.1-7)",NA,"sodium (>= 0.2), pbdRPC (>= 0.1-0)",NA,BSD 2-clause License + file LICENSE,NA,NA,NA,NA,no,3.6.1
remotes,/usr/local/lib/R/site-library,2.1.0,NA,R (>= 3.0.0),"methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, withr",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
rentrez,/usr/local/lib/R/site-library,1.2.2,NA,R (>= 2.6.0),"XML, httr (>= 0.5), jsonlite (>= 0.9)",NA,"testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
reprex,/usr/local/lib/R/site-library,0.3.0,NA,R (>= 3.1),"callr (>= 2.0.0), clipr (>= 0.4.0), fs, rlang, rmarkdown,
utils, whisker, withr",NA,"covr, devtools, fortunes, knitr, miniUI, rprojroot,
rstudioapi, shiny, styler (>= 1.0.2), testthat (>= 2.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
reshape,/usr/local/lib/R/site-library,0.8.8,NA,R (>= 2.6.1),plyr,NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
reshape2,/usr/local/lib/R/site-library,1.4.3,NA,R (>= 3.1),"plyr (>= 1.8.1), Rcpp, stringr",Rcpp,"covr, lattice, testthat (>= 0.8.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
reticulate,/usr/local/lib/R/site-library,1.13,NA,R (>= 3.0),"utils, graphics, jsonlite, Rcpp (>= 0.12.7), Matrix",Rcpp,"testthat, knitr, callr, rmarkdown",NA,Apache License 2.0,NA,NA,NA,NA,yes,3.6.1
rex,/usr/local/lib/R/site-library,1.1.2,NA,NA,"magrittr, lazyeval",NA,"testthat, knitr, rmarkdown, dplyr, ggplot2, Hmisc, stringr,
rvest, roxygen2, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
rfUtilities,/usr/local/lib/R/site-library,2.1-4,NA,R (>= 3.3),"randomForest (>= 4.6-12), cluster",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.1
rgenoud,/usr/local/lib/R/site-library,5.8-3.0,NA,"R (>= 2.15), utils",NA,NA,testthat,NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
